t,dist_m1,dist_m2,dist_m3,valid_m1,valid_m2,valid_m3
1612483824.3109677,8.5500001907348633,11.49899959564209,15.718000411987305,1,1,1
1612483824.4111931,8.6630001068115234,11.484999656677246,0,1,1,0
1612483824.8090439,0,11.578000068664551,16.382999420166016,0,1,1
1612483825.0112717,9.2440004348754883,11.574000358581543,16.575000762939453,1,1,1
1612483825.1132109,9.2489995956420898,11.545999526977539,16.63599967956543,1,1,1
1612483825.2112219,9.2910003662109375,11.503000259399414,16.697000503540039,1,1,1
1612483825.3113618,9.3420000076293945,11.470999717712402,0,1,1,0
1612483825.7092063,0,11.119000434875488,16.795999526977539,0,1,1
1612483825.9092453,9.4460000991821289,10.85200023651123,16.767999649047852,1,1,1
1612483826.0113232,9.5109996795654297,10.772000312805176,16.725000381469727,1,1,1
1612483826.1092463,9.5349998474121094,10.649999618530273,16.691999435424805,1,1,1
1612483826.2092519,9.6190004348754883,10.472000122070312,0,1,1,0
1612483826.6093414,0,9.8629999160766602,16.406000137329102,0,1,1
1612483826.8093729,9.8400001525878906,9.5349998474121094,16.166999816894531,1,1,1
1612483826.9093552,9.689000129699707,9.380000114440918,16.069000244140625,1,1,1
1612483827.0093923,9.5159997940063477,9.1979999542236328,15.942000389099121,1,1,1
1612483827.1094289,9.7360000610351562,9.0329999923706055,0,1,1,0
1612483827.513499,0,8.305999755859375,15.342000007629395,0,1,1
1612483827.7094808,9.0850000381469727,7.8899998664855957,15.074999809265137,1,1,1
1612483827.809504,9.0520000457763672,7.7210001945495605,14.980999946594238,1,1,1
1612483827.9095085,9.005000114440918,7.5479998588562012,14.850000381469727,1,1,1
1612483828.0095644,8.9680004119873047,7.4539999961853027,0,1,1,0
1612483828.4096551,0,6.8730001449584961,14.446999549865723,0,1,1
1612483828.6096506,8.9300003051757812,6.6380000114440918,14.288000106811523,1,1,1
1612483828.7096531,8.925999641418457,6.5399999618530273,14.22700023651123,1,1,1
1612483828.80966,8.9160003662109375,6.4369997978210449,14.081000328063965,1,1,1
1612483828.9156613,8.9300003051757812,6.3340001106262207,0,1,1,0
1612483829.3097446,0,5.9780001640319824,13.659999847412109,0,1,1
1612483829.5097601,8.6909999847412109,5.7950000762939453,13.463000297546387,1,1,1
1612483829.6143754,8.7100000381469727,5.7389998435974121,13.354999542236328,1,1,1
1612483829.7097867,8.6070003509521484,5.6539998054504395,13.177000045776367,1,1,1
1612483829.8098319,8.5360002517700195,5.6069998741149902,0,1,1,0
1612483830.2098913,0,5.4520001411437988,12.524999618530273,0,1,1
1612483830.4098976,8.0399999618530273,5.4429998397827148,12.13599967956543,1,1,1
1612483830.5099919,7.9650001525878906,5.4619998931884766,12.036999702453613,1,1,1
1612483830.6099586,7.875,5.4340000152587891,11.831000328063965,1,1,1
1612483830.7099702,7.809999942779541,5.494999885559082,0,1,1,0
1612483831.1080139,0,5.6820001602172852,11.020000457763672,0,1,1
1612483831.3100524,7.2519998550415039,5.8229999542236328,10.663999557495117,1,1,1
1612483831.4107168,7.1119999885559082,5.9310002326965332,10.513999938964844,1,1,1
1612483831.5102389,7.3410000801086426,6.0149998664855957,10.331000328063965,1,1,1
1612483831.6103313,7.6279997825622559,6.1090002059936523,10.185999870300293,1,1,1
1612483832.1143713,0,6.6989998817443848,9.3050003051757812,0,1,1
1612483832.2103009,6.690000057220459,6.7890000343322754,9.1230001449584961,1,1,1
1612483832.3103516,6.5819997787475586,6.9109997749328613,8.9350004196166992,1,1,1
1612483832.4103765,6.5450000762939453,7.004000186920166,8.7519998550415039,1,1,1
1612483832.5103703,6.6009998321533203,7.1119999885559082,8.6210002899169922,1,1,1
1612483833.2104712,0,0,7.5760002136230469,0,0,1
1612483833.8084538,0,8.8649997711181641,6.8959999084472656,0,1,1
1612483834.0111303,7.2010002136230469,9.0190000534057617,6.6479997634887695,1,1,1
1612483834.1109109,7.2899999618530273,9.1180000305175781,6.5819997787475586,1,1,1
1612483834.215575,7.3130002021789551,9.2440004348754883,6.4510002136230469,1,1,1
1612483834.3111279,7.374000072479248,9.314000129699707,6.3850002288818359,1,1,1
1612483834.7086449,0,9.7220001220703125,6.1510000228881836,0,1,1
1612483834.912519,7.7160000801086426,9.8719997406005859,5.945000171661377,1,1,1
1612483835.0111318,7.7350001335144043,9.9469995498657227,5.875,1,1,1
1612483835.1111531,7.8289999961853027,10.055000305175781,5.8319997787475586,1,1,1
1612483835.2112083,7.870999813079834,10.163000106811523,5.8090000152587891,1,1,1
1612483835.6087005,0,10.472000122070312,5.6069998741149902,0,1,1
1612483835.81091,8.2130002975463867,10.621999740600586,5.5560002326965332,1,1,1
1612483835.911099,8.2370004653930664,10.673999786376953,5.5180001258850098,1,1,1
1612483836.0109053,8.2919998168945312,10.753999710083008,5.5180001258850098,1,1,1
1612483836.1109149,8.2880001068115234,10.843000411987305,5.4289999008178711,1,1,1
1612483836.5128875,0,11.27400016784668,5.3550000190734863,0,1,1
1612483836.711246,8.6680002212524414,11.465999603271484,5.3169999122619629,1,1,1
1612483836.8110743,8.6770000457763672,11.53600025177002,5.3029999732971191,1,1,1
1612483836.9109881,8.6680002212524414,11.607000350952148,5.3119997978210449,1,1,1
1612483837.0089483,8.7749996185302734,11.677000045776367,5.3080000877380371,1,1,1
1612483837.5089991,8.6440000534057617,11.854999542236328,5.3400001525878906,1,1,1
1612483837.6090209,8.6210002899169922,0,5.3909997940063477,1,0,1
1612483837.7090311,8.5319995880126953,0,5.3680000305175781,1,0,1
1612483837.8090997,8.4709997177124023,11.892000198364258,5.4200000762939453,1,1,1
1612483837.9090314,8.4610004425048828,11.878000259399414,5.4060001373291016,1,1,1
1612483838.0090938,8.305999755859375,0,0,1,0,0
1612483838.4091511,8.0120000839233398,0,5.6350002288818359,1,0,1
1612483838.5092175,7.9270000457763672,0,5.6640000343322754,1,0,1
1612483838.6131496,7.8899998664855957,0,5.7760000228881836,1,0,1
1612483838.7131875,0,0,0,0,0,0
1612483838.9091647,7.6599998474121094,0,0,1,0,0
1612483839.3104079,7.4120001792907715,0,6.2119998931884766,1,0,1
1612483839.4092536,7.2709999084472656,11.836000442504883,6.1840000152587891,1,1,1
1612483839.5093124,7.3649997711181641,11.812999725341797,6.2220001220703125,1,1,1
1612483839.609313,7.3460001945495605,11.873000144958496,6.2399997711181641,1,1,1
1612483839.7093339,7.3460001945495605,11.850000381469727,6.2779998779296875,1,1,1
1612483839.8094995,7.2569999694824219,0,0,1,0,0
1612483840.1093845,0,12.027999877929688,6.375999927520752,0,1,1
1612483840.3094261,7.1630001068115234,12.093999862670898,6.4229998588562012,1,1,1
1612483840.4094708,7.2010002136230469,12.121999740600586,6.4650001525878906,1,1,1
1612483840.509449,7.1869997978210449,12.168999671936035,6.5310001373291016,1,1,1
