t,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1612483762.17185,83.934215368277322,-21.088587352277063,23.064194296527472,0.97028594346325925,0.21255161008292836,-0.048052561343801897,-0.10515679872013997
1612483762.1818509,83.925163878137781,-21.068805546055167,23.06239000792414,0.97042770056720407,0.21197921421288787,-0.04809756248270293,-0.10498340438735032
1612483762.1968541,83.910824602266842,-21.038847184159998,23.059230282155703,0.97090164258708989,0.2098740644375254,-0.04849255461531074,-0.10464869633705545
1612483762.2068529,83.900870195746052,-21.018847807133358,23.056934609109419,0.97131120637328905,0.20803019954168109,-0.048812512054177831,-0.10438062616824649
1612483762.2168531,83.890715119577763,-20.998955274574623,23.054507132034814,0.9714520729567907,0.20796136926499983,-0.047710590307975025,-0.10371421510017412
1612483762.2318578,83.875118718154582,-20.969646458810814,23.051346460455807,0.97242497968817398,0.20268139714572381,-0.050074441937951637,-0.10393488535671994
1612483762.2418559,83.864750010578589,-20.950036049731004,23.048437360357546,0.97199957370433054,0.20656892738966032,-0.045518373494775652,-0.10234346403202718
1612483762.2518559,83.854275421077773,-20.931317648132648,23.046725864586563,0.9727819210295563,0.20192956962806652,-0.048133150139858118,-0.10297078656339388
1612483762.2618568,83.843902264337686,-20.912705029578476,23.044692491436525,0.97328128485893439,0.19923993309480839,-0.048930714087894518,-0.10311534717279777
1612483762.2768579,83.82873505143121,-20.885650253914246,23.041718267472405,0.97330798901177451,0.19985568078479007,-0.046754666208125725,-0.10268040987291752
1612483762.2868588,83.818845782606928,-20.868283868013318,23.040178223472502,0.97376894361859412,0.19701167653437079,-0.047899209650791717,-0.10327685833657643
1612483762.2968588,83.809017268769097,-20.851323405894419,23.038893927124462,0.9745836653495803,0.19145952302546174,-0.051111496734579175,-0.10448705746737776
1612483762.3068707,83.799339569510778,-20.83421954138343,23.036713412584376,0.97443580626302162,0.19323629536458092,-0.048178676451926389,-0.10398754137707178
1612483762.3218639,83.784779827729793,-20.809202323584636,23.033894299797787,0.97506977247220405,0.18957555104739721,-0.048569434865254189,-0.10459951841643224
1612483762.3318658,83.77506136293691,-20.792646529857279,23.031722647398077,0.97531026673388721,0.18858824721045667,-0.047460992324211415,-0.10465089978190573
1612483762.3418648,83.765278952982001,-20.776294559103793,23.029563986829814,0.97564599715718792,0.18687282569657859,-0.046858757352054456,-0.10486988179050277
1612483762.3518648,83.755385600294261,-20.760156374955901,23.027512459908383,0.97618263290576801,0.1835590785293951,-0.047483902474902882,-0.10544577235885563
1612483762.3668659,83.740367839634587,-20.735769367521716,23.02351575685752,0.97635384493837263,0.18374465478462806,-0.043886039820395358,-0.10509560800060444
1612483762.3768668,83.730052461639488,-20.720000263544662,23.021657559463943,0.97740691994886375,0.17619830610606987,-0.047726409932001446,-0.10654604430212082
1612483762.3868668,83.719650904762617,-20.704023405922726,23.018952706350895,0.97750507777505768,0.17634542655015101,-0.045379701166079298,-0.10642742212842038
1612483762.3968778,83.709036100385404,-20.687980503791831,23.015928307112752,0.97731328496734071,0.1787455827834297,-0.041203008948933514,-0.10588234845955913
1612483762.4118698,83.692563463228481,-20.664291213417666,23.011919275766672,0.97772044184415685,0.17655060285046262,-0.039702807536672061,-0.10637814299427634
1612483762.42187,83.681117219283635,-20.648669949681221,23.00936046543687,0.97852693235397481,0.17069049540597436,-0.042033775058501227,-0.10762415709455778
1612483762.4318712,83.669487142268309,-20.632902826847445,23.00583595044888,0.97833737929762599,0.17286853853914175,-0.037899763153749128,-0.10740599892596343
1612483762.44188,83.657561937310149,-20.617398056387632,23.002537652400729,0.97850176830489377,0.17198661430584547,-0.036233937507668963,-0.10789808013351568
1612483762.4568741,83.639236119186023,-20.594458282523547,22.997750043349793,0.97935671979538497,0.16565674697632296,-0.037510868301957462,-0.1095955853676579
1612483762.4668732,83.626816170662735,-20.579315466231229,22.994458503700582,0.97989090017398106,0.16151130778467165,-0.038272640495739266,-0.11073900037201906
1612483762.4768751,83.614330658792809,-20.564166643506713,22.990699540746917,0.97993074150153048,0.16159833847988464,-0.035669911352618815,-0.11112774759211867
1612483762.486881,83.601748699140529,-20.549004561903462,22.986718611122381,0.97994337955433763,0.16199087440537913,-0.032644633649125981,-0.11137440177580611
1612483762.5018752,83.582776065558377,-20.526918405618986,22.981729820830449,0.98080265075823858,0.15510292661374647,-0.034264243751357372,-0.11311588757381034
1612483762.511879,83.570194181042851,-20.51208700421137,22.977751490414569,0.98072674072695631,0.15629997659778944,-0.030666251682531748,-0.11315899587021507
1612483762.5218797,83.557646455430884,-20.497492648434775,22.974161030965103,0.98101014444773693,0.1543408815611847,-0.029589850071065241,-0.11367686458694509
1612483762.5318906,83.545213201293379,-20.482913565724342,22.970361724406121,0.98101196813545766,0.15488587760456748,-0.026522855882636712,-0.11367682881523233
1612483762.5468807,83.526662338627332,-20.461234227446116,22.964728311841981,0.98132236206187518,0.15334330050770278,-0.023456823326165985,-0.11376304912471015
1612483762.5568817,83.51426580494342,-20.446901512236103,22.961057149566649,0.98180083129729012,0.15016645834839798,-0.022894836594597071,-0.11398679269264202
1612483762.5668826,83.501848280534261,-20.432529824267085,22.957110276575637,0.98217251557715857,0.14803387571564489,-0.021294723141872779,-0.1138843977538289
1612483762.5768836,83.489363071090295,-20.418374569806744,22.953597108184326,0.98304477742326113,0.14142657468162548,-0.02318765184402883,-0.11438453722699513
1612483762.5918846,83.470627913322119,-20.39697579023553,22.947218784165777,0.9832136854702378,0.14172351090226493,-0.017918970651971067,-0.11350861488161033
1612483762.6018856,83.458070158374554,-20.382844276419025,22.942971326840016,0.98321602501375327,0.14266937295715404,-0.013937280875001224,-0.11286031356494765
1612483762.6118877,83.445393091488086,-20.368810099539864,22.938968834441258,0.98356874628263247,0.1405598313505122,-0.012354468673877666,-0.11261803696794009
1612483762.6218865,83.432642405436724,-20.354882390987846,22.934995868785361,0.98381425367137454,0.13921660860448118,-0.010352323729085285,-0.11234357816587098
1612483762.6368873,83.413319520640556,-20.334212176211658,22.929343303905604,0.98427615494319287,0.13611751233708905,-0.008594719150300972,-0.11224350514900044
1612483762.6468945,83.400307986402566,-20.320496868693514,22.925483863342279,0.98424038672008241,0.1367382822174866,-0.0056368340790118685,-0.11198986305411492
1612483762.6568885,83.38717817819078,-20.306945669416262,22.921961709651093,0.98440178276886037,0.13550731765651647,-0.004440578226746714,-0.11212126563697704
1612483762.6668894,83.373913473479519,-20.293516778478121,22.918459591211011,0.98468238348551429,0.13309288713489253,-0.0043158405510463184,-0.11255336764274666
1612483762.6818914,83.35385929409901,-20.273487639853215,22.912302865697129,0.984399258427613,0.13501678383614521,8.5512116696085701e-05,-0.11282092349111168
1612483762.6918914,83.340343145076716,-20.260323458192328,22.908331261723788,0.98469879948958461,0.13214463402798157,-0.00027450909666961772,-0.11360455372095479
1612483762.7018914,83.32674868515079,-20.24725447222551,22.90420837867801,0.98493587194810162,0.12964363309709423,-0.00044103776773539281,-0.11442754053507628
1612483762.7118924,83.31307104295189,-20.234253268926334,22.899990714184259,0.9851985251795643,0.12682388637051298,-0.00091844670603896141,-0.11532009489043472
1612483762.7268946,83.292456015881385,-20.214868573414385,22.893364139849929,0.98527819870427069,0.12517353080002297,0.0001227559337615955,-0.11644072859658747
1612483762.7368946,83.278673249393236,-20.201941346199884,22.888496200348488,0.98477145932607169,0.1288082777253321,0.0043237880063951486,-0.11668292652958556
1612483762.7468956,83.264812743730076,-20.189119900431507,22.884050309744012,0.98482840411071437,0.12772494758970115,0.0047722861489469283,-0.11737366614732644
1612483762.7568967,83.250931067502094,-20.176367989845012,22.879683958575249,0.98484224464877423,0.12702676600921775,0.0053139750300080007,-0.11799031969523496
1612483762.7718966,83.230082665700778,-20.157517185418008,22.873989948779617,0.98546375157648158,0.12087586652402002,0.001688259715838964,-0.11936234330812183
1612483762.7818975,83.216230525369724,-20.144821389096901,22.869460114448884,0.9846824434993553,0.12715181785538299,0.0069993349683798254,-0.11909622156143786
1612483762.7918997,83.202346816505823,-20.132325814273912,22.865574277725838,0.98495141657178431,0.1246057718566637,0.0054751189653583056,-0.11964168038587357
1612483762.8019006,83.188510119151431,-20.119980360213443,22.861394713895855,0.98512434670568183,0.12278912862958492,0.0044171158230248584,-0.12013883845741349
1612483762.8168995,83.167804902040032,-20.101454888904435,22.853892682385776,0.98450727695248497,0.12748386189018412,0.0085773379406455814,-0.12008212131295544
1612483762.8269012,83.153972756008727,-20.089373299955188,22.849440136901684,0.98508461918271939,0.12235397566445318,0.0049316686099217773,-0.12088621233813608
1612483762.8369021,83.140182932447075,-20.077261646926814,22.844169130637511,0.98470587208241522,0.12521116214361497,0.00732612622971916,-0.12092492809806325
1612483762.8469052,83.126327113461869,-20.065052453497806,22.838598852893004,0.98434002464846404,0.12794231453789112,0.0098077564594937945,-0.12086888739034467
1612483762.8619072,83.105523648911856,-20.047158880569437,22.831130042472701,0.98467315251389809,0.12471853749267756,0.0075271967153725441,-0.12168570348910006
1612483762.871906,83.091628145301485,-20.035211778625815,22.825831620162401,0.98442624494042008,0.12638254752138753,0.008853285878618956,-0.12187714832428559
1612483762.8819051,83.077635127585239,-20.023225620306608,22.820738462710189,0.98458024309714332,0.12480844912797105,0.0078098055731618604,-0.12232580621418496
1612483762.8919072,83.063622237922829,-20.011287513974587,22.815603454228071,0.98432268028237313,0.12652269990346829,0.0090675680417878473,-0.12255058833261261
1612483762.9069071,83.042395342458931,-19.993255400403644,22.808379110473933,0.98453688609776757,0.12424048447629793,0.0074138549244891451,-0.12327390918262028
1612483762.916908,83.028251027020033,-19.981446712283539,22.804084690385292,0.98481156719122165,0.12129184667493044,0.0048816320521394519,-0.12413957759337908
1612483762.9269109,83.014142711839185,-19.96944778640178,22.798851696986652,0.98396380912169668,0.12770387889474713,0.0095185533384926722,-0.12416254989447954
1612483762.9369121,82.999992136043531,-19.957717898522002,22.794714689085549,0.98446715176848354,0.12272737990875465,0.0053846705073423307,-0.12543294078155467
1612483762.951915,82.978808815136077,-19.940155320991604,22.787779798012679,0.98397726188367829,0.12542162817148925,0.0066466371912369381,-0.12654637686145032
1612483762.9619141,82.964642471186394,-19.928420364121322,22.782874723052355,0.98331333338466786,0.12988198524528621,0.0095159116237630084,-0.12702364237670521
1612483762.9719141,82.950389636271737,-19.916905423883538,22.778753371881653,0.98363549867657296,0.12631191348663551,0.0062399176237931476,-0.12832602885885105
